category,question,answer
Insurance,What is the average life insurance cost per month?,The cost of a life insurance policy depends on the type of policy you own. Term plans are generally cheaper in nature as it only offers death benefit with no profits or returns. Traditional plans and unit-linked plans tend to cost more as they offer a wide range of benefits. The cost also depends on the sum assured i.e. a higher sum assured will cost you more and vice versa.
Insurance,"Which is better, term life or whole life insurance?","Term life plans are offer a high sum assured at low premium rates. Such plans do not offer any returns and are valid for a limited period of time. Whole life plans, on the other hand, offer death benefits as well as savings benefits. Unlike term plans, these plans are valid for the entirety of the policyholder’s life. Both types of policies have their own perks. You must assess your needs first to decide which is better. If you seek high coverage at low premium rates, then term plans are a better option. However, if you want life cover as well as savings benefits with a longer tenure, a whole life plan will be a perfect pick."
Insurance,Can I get life insurance at 62 years?,"Yes, you can buy life insurance at 62 years. Most life insurance policies have a maximum entry age ranging between 55 years and 60 years. However, there are numerous policies that are designed specifically for senior citizens. Such plans are useful for individuals who haven’t invested in a plan earlier in life. Certain plans for senior citizens also offer retirement benefits and pay outs."
Insurance,Why do term insurance policies offer higher life coverage than other types of insurance policies?,"Premiums paid by a term insurance policyholder are fully utilised towards creating a life cover. Under other types of life insurance plans, only a part of the premium paid is allocated towards creating a life cover. The balance is utilised to provide for maturity benefits or as in the case of ULIPs a part of the premium is used to meet administration and sales expenses. This makes term insurance plans more affordable than other plans. This is why they are also called pure protection plans because they only offer a pay-out in the event of death of the life assured. Other plans offer returns as well as life coverage."
Insurance,What is the difference between a reversionary bonus and terminal bonus?,"Bonuses are offered under participating life policies i.e., policyholders can participate in the profits of the policyholders’ fund. A reversionary bonus is declared as a percentage which applies to the chosen sum assured. Reversionary bonuses can be simple or compounded bonuses. One-off reversionary bonuses are those that are paid out of one-time profits that may not occur again. A terminal bonus is the residual bonus declared on maturity or the policy i.e., if after the declaration of all reversionary bonuses, there are still profits accrued to the fund, it may be paid out to the policyholder in the form of a terminal bonus."
Insurance,What is a Bonus?,"Under certain plans, insurance companies give policyholders a share in profits. This amount is called a bonus and accrues to the policyholder at no extra cost. It is awarded at certain times during the policy period. Bonus amounts are decided by the company and are paid out in addition to the chosen sum assured. Certain plans guarantee bonus payments."
Insurance,What are Riders?,"Riders are specific to certain situations or events whereby the insurer pays the policyholder a certain amount of money when such an event occurs. E.g., critical illness or disability rider. They are an additional benefit to a standard policy for higher premiums. "
Insurance,What is a policy's ‘Free-Look Period’?,"As per IRDA regulations, if a policyholder does not wish to continue his/her policy they can discontinue the same within the first 15 days of buying it and get a refund."
Insurance,What is meant by ‘Assignment’ of a policy?,"If, for example, a policy is used to raise a loan, the policy is assigned or transferred to the lender. The policy then bears the lender or the assignees assignee’s name. Once the loan is repaid the policy can be reassigned or transferred back. "
Insurance,What is the ‘Surrender Value’ of a policy?,"If a policyholder wishes to cancel his/her policy, once in effect, they can surrender it to the insurer and receive the surrender value as a refund. The surrender value is calculated based on premiums paid and how long the policy was in effect. Surrender is usually allowed after a certain period of time."
Insurance,Can I avail a loan through my life insurance policy?,Some insurance companies provide loans against insurance policies to their customers. The amount of money you can avail through such a loan is usually a percentage of the insurance policy's surrender value.
Insurance,What are settlement options?,"At the time of purchasing a life insurance policy, the insurance provider may design and define the manner in which you will receive the payout. Settlement options are offered by most insurance companies and they ensure that you receive your money in a manner that was specified when you were purchasing the insurance policy."
Insurance,How will I figure out if the agent who is selling the life insurance policy to me is authorised or not?,"Insurance agents are usually representatives of specific life insurance companies and have the authority to offer advice on any product that is sold by that particular insurance company. All agents who deal with the sale of life insurance policies are registered with the IRDA. All agents also have a basic requirement to pass an examination before undertaking to sell insurance policies. In case you are purchasing an insurance policy through your agent, make sure that you request for his/her authorisation card attained from IRDA."
Insurance,What are the major differences between a non-participating policy and a participating one?,"A non-participating insurance policy is one that does not allow the insured individual to share in the profits made by the company, while a participating policy ensures that an insured individual has the right to share in the profits of the company. However, the dividends or bonuses declared by the insurance company may increase or decline based on the life funds investments returns."
